Target,<F>(raw),σ_F(raw),<ΔF>(raw),σ_ΔF(raw),<F>(unbinned),σ_F(unbinned),<ΔF>(unbinned),σ_ΔF(unbinned),<F>(6hr),σ_F(6hr),<ΔF>(6hr),σ_ΔF(6hr),<F>(12hr),σ_F(12hr),<ΔF>(12hr),σ_ΔF(12hr),σ^2_XS(unbinned),err(σ^2_XS)(unbinned),σ^2_XS(6hr),err(σ^2_XS)(6hr),σ^2_XS(12hr),err(σ^2_XS)(12hr),σ_rms(unbinned),err(σ_rms)(unbinned),σ_rms(6hr),err(σ_rms)(6hr),σ_rms(12hr),err(σ_rms)(12hr),m1,r2_1,m2,r2_2,m3,r2_3,m4,r2_4,τ_inc(days),"σ_τ,inc(days)",Δt_inc(days),"τ_exp,inc(days)",τ_dec(days),"σ_τ,dec(days)",Δt_dec(days),"τ_exp,dec(days)",δ,"R_min(km,10^8 Ms)","R(km,10^8 Ms)","R_max(km,10^8 Ms)",Rs_min (10^8 Ms),Rs (10^8 Ms),Rs_max (10^8 Ms),χ^2,dof,χ^2/dof
1ES2322-409,110.03497426725151,11.577689144405896,-0.01013369998193043,1.0006453854518438,109.86606471927877,10.823919599872239,0.11925699269496126,2.6281936562804047,109.2956526435112,12.914801998882751,-0.12095836229079522,2.7884086298552013,110.30572638336245,10.464787502554305,0.118349454647775,4.5923692652197285,116.5962038909372,0.4682977593767687,113.55833556954387,1.5328610250685302,109.17511246932187,0.4682977593767687,10.797972211991343,0.021684523268948385,10.656375348566879,0.07192225193506706,10.448689509662055,0.08211992375401832,0.016705340284443638,0.029943171775151156,0.03509561285481892,0.08396762043832828,0.0031896312566835313,0.012106665292171193,0.014511451442559942,0.5937419349607116,0.29592778391167135,0.01827082307291416,0.0532549550478052,0.3349618624427981,0.23217787054733371,0.022009899041056692,0.035503298340017864,0.4269335463106291,11.0,60946984656.403336,66152757849.16327,71358531041.92319,206.36634254255574,223.99307797421716,241.61981340587855,241107.18767691834,1195,201.7633369681325
1RXSJ054357.3-553206,104.52641355383072,4.662597641929155,0.013884225829368874,0.9215882334872718,112.37523353697446,21.079091282162718,0.005575922770703833,1.3987555331231418,112.74848865652936,21.170924599377347,-0.12482525241461269,1.3134117437188824,112.60475949615152,20.98509734722899,-0.20557378699406165,2.030214768148766,443.68443247540887,0.3094078845945325,448.08083787645234,0.47800808255882726,440.28262971320197,0.3094078845945325,21.063818088737115,0.007344534672941697,21.16792001771672,0.011290860938598435,20.982912803355067,0.013240711953155012,0.007448960362375301,0.0950154609253756,0.01262862008467168,0.16842757593122204,0.007327312708998051,0.7289495605733354,0.014235175191161105,0.8128604078528621,0.5289738347211864,0.1176568761349009,0.049097025311994,1.1076493515754748,0.767764025093592,0.06932576887774938,0.06546303691516187,0.7631479281122738,11.0,130964191909.832,150716680768.76422,170469169627.69644,443.4444368468666,510.32631631819424,577.2081957895218,8714114.173882024,11940,729.825307695312
3C120,854.0312528283205,8.364988556520851,0.04437546214504822,1.8063256089354085,854.3459179997576,7.518248173009914,-0.02646644973462388,2.217884315982511,854.1224737030741,3.6094501292755683,0.4692399072871839,2.3167432161692965,853.7749413836314,5.111283590985101,-0.31044556792099287,3.1960032818557114,17.570154900300505,0.3252909073647761,11.84260713862774,0.8139904976835179,83.4556249757925,0.3252909073647761,4.19167686019575,0.03880200194506228,3.4413089281010123,0.11826757124834696,9.13540502527351,0.14599862354237617,0.25014706320836466,0.6664598108087445,0.38273477626569785,0.7849446312818437,0.3841728123294417,0.7689243102584106,0.404048336671417,0.8898237362893542,0.5536263356386361,0.02218817084634973,0.04033579684232791,0.811727093266429,0.562646346081745,0.021720930244243642,0.0403357905311168,0.7987139689313891,4.16,57314192738.55146,59654679542.88491,61995166347.218346,194.06571790080025,201.99060055582203,209.91548321084372,72035.2378940879,1088,66.20885835853667
NGC1218,2059.331518978053,15.632841330503327,-0.04015140709297181,2.345900380959395,2936.545444979486,1.960554747186405,0.008666220968387196,2.424093237511461,2936.465683561112,0.768213062400855,-0.06248172575668344,0.8386433399768289,2936.427926056099,0.6418720519019264,0.12841763101210998,0.5113752423633706,1.5508909942623164,0.17002430548502828,0.900098243510626,0.11643103273785434,0.8458160784229037,0.17002430548502828,1.245347740296788,0.06826378688594582,0.9487350755140372,0.06136119331035087,0.9196825965641101,0.05972217753687025,0.13823391569220003,0.06573717837181348,0.23170805288902083,0.16326527398990143,0.23167345066737677,0.646258110440336,0.11603495505552085,0.27304837041392904,8.785340431808992,2.4280182066300817,0.040521270938370435,13.981451260058217,9.691203521045647,1.9948734696708024,0.04052127727663901,12.674567073492137,11.0,1934758534782.4597,2503143373818.8267,3071528212855.194,6551.087716266558,8475.637405637463,10400.187095008368,1442.9306538186356,864,1.6700586271049023
PKS0035-252,159.8878055872542,31.050097983198842,-0.004564023130401839,2.622688676356387,161.1000631448973,30.507616457387996,0.12883801437951184,3.49933377295425,151.39827972203088,25.524295706887607,3.1058205756648842,10.346719972147628,156.55971696629572,25.924983302323636,2.242421337508211,24.77532210751361,929.826327650796,1.9272045912224678,858.2480846007435,21.011430609738554,786.8336579065121,1.9272045912224678,30.493053760664836,0.031600714811130304,29.29587145999831,0.358607366202237,28.05055539390463,0.4641233944404184,0.11045575060149165,0.25748457752072695,0.1696521979423054,0.4215694167908405,0.1249074029663207,0.9081332819216748,0.16773310718402235,0.7529877815645023,0.08206822081799196,0.004477188504965004,0.02781391616986184,0.18175376108403016,0.1259821070515614,0.002636344360051015,0.04172086306516576,0.1183994151886974,11.0,22631948843.52928,23383103334.034042,24134257824.5388,55.51477655560177,57.35731225535134,59.19984795510089,912614.7512783671,889,1026.5632747788156
PKS0130-17,130.13217982020947,11.417218849125664,0.058561475025698015,1.258933767556664,130.14644097882697,11.043823563522595,-0.008805238451236149,3.832220138166833,129.7032833441304,10.569535740344216,0.21523801203905313,1.6341527273651666,129.71424062893578,10.513538823166058,0.15568547660551957,2.284403496463792,121.21719898693972,0.646276056663767,110.79794012072827,2.332820054787463,109.7580623719599,0.646276056663767,11.00986825474945,0.029349854226683212,10.526060047364744,0.11081164482676008,10.476548208830993,0.14134722624490406,0.023982178651992862,0.09205644237583188,0.04224635697088858,0.2442520096860178,0.024527263592992222,0.5824183181871141,0.042478424811130934,0.7462928260583221,0.2296866712089116,0.019721608636180853,0.020627069777674478,0.33086827986086337,0.22934041532227636,0.03090468810099119,0.030940441569896393,0.3313678215113906,12.53,68032395103.2877,74433100708.00128,80833806312.71487,50.39673533496253,55.13822159056215,59.87970784616178,140788.01770552792,871,161.63951516134088
PKS0208-512,94.78679368647444,13.853780364544907,-0.0438560229567026,1.1587583130209325,107.05306897811765,23.72133641208356,-0.008998942257638635,2.076410283546141,106.8271518815077,23.62517163559036,-0.18345080135206893,2.516616331250227,98.24941404003388,20.1329872052956,-0.657217765588588,5.336242631828246,562.1244304039924,0.7942494808509128,557.8065719352003,2.101027761536212,582.1224713060236,0.7942494808509128,23.709163426911385,0.01674984196088062,23.617929035696594,0.04447950873170713,24.127214329591048,0.05824744516602507,0.013352679204077261,0.1381260931500745,0.0226731060563509,0.211121640478256,0.021236529646287593,0.7005161837144649,0.01312939113465371,0.2646866433843451,0.27216599981756473,0.03310115564000487,0.031265995653825485,0.34778827652187433,0.2410684633029398,0.04716824445165999,0.02084410503402978,0.39265253823538715,11.0,59254617642.657,68685890004.74151,78117162366.82605,15.21979642217443,17.642258182347387,20.06471994252035,1955349.220766386,2058,950.1210985259407
PKS0226-559,46.30368901893846,14.211073075737646,-0.038161050832736576,1.1213088557950304,31.17494745545562,21.30970530380855,-0.025363682479603404,1.75260450378393,31.734185276281,21.255693178963256,-0.08657111479530377,1.3517896020643383,30.954932317083244,21.1830012789715,-0.38016626776025186,2.102153435375685,453.5906070480828,0.6751199462271233,451.57729975646345,1.5448406417104665,448.55539421679185,0.6751199462271233,21.297666704314885,0.015849622299008576,21.250348226710624,0.03634859592015248,21.179126379923982,0.042710784911233965,0.017414389213134568,0.296304127281263,0.022877141616429432,0.3076950357439667,0.015974253995446525,0.8125435064272364,0.019592487957105387,0.4559186588465032,0.06906607573269204,0.01866909634924624,0.03608529656474957,0.07342995299094598,0.05089776488432353,0.01896102391870831,0.08419795512600103,0.09964128495321639,11.0,9182680934.991455,14501931245.725115,19821181556.45878,31.092535421936525,49.10350410041943,67.11447277890234,1869607.2544461126,2042,915.576520296823
PKS0235-618,65.43884268142224,2.7106429807692045,0.027563510960520198,1.0934368769306406,62.40431108965829,2.7567980111051797,-0.006167042467426744,1.0916555548074767,62.41241477970238,2.6491021405753026,-0.026814997251825193,0.32957782414356207,62.40789184303978,2.6308411497665056,-0.08236570595356231,0.26983360019733915,6.981670298100209,0.07575336046655336,6.962567700211151,0.07615555512766299,6.891919075297468,0.07575336046655336,2.642285052393138,0.01433481985562893,2.6386677889062033,0.014430682681587486,2.6252464789610648,0.01461308084096406,0.013766968582557127,0.012491905024685002,0.017866526144285945,0.028758177676705854,0.01562790190585337,0.36147425680720324,0.008775669246056219,0.10689763756874449,0.509028082978933,0.0844689112929955,0.113644824280982,1.1724692023716257,0.8126937219172602,0.05746808243476753,0.1988784084571762,0.7343722909869224,11.0,128659718085.73491,145033682289.99307,161407646494.25125,1510.5295957533178,1702.7681448371563,1895.006693920995,36559.99876526815,3141,11.6396048281656
PKS0301-243,112.26160880165233,5.438232914667409,0.027754026325451674,1.1281706255103956,112.5340812871972,5.231151822727683,0.04288082524493059,1.2670758077672375,112.37285416400944,5.2109180744766785,0.049564814590972756,0.9362723358245906,112.41030876103936,5.16822239878839,0.21672286585618356,1.627530120243214,26.698378406860712,0.2893263660568124,27.064219339058194,0.3722392790450582,26.642354096598886,0.2893263660568124,5.167047358681814,0.02799726284399913,5.202328261370883,0.035776219833056844,5.1616232036636385,0.04354304284398768,0.020568596088362215,0.1352607366650581,0.02359909730128035,0.060503558004872504,0.02667370747614861,0.7473073640527608,0.029358465350216675,0.2179891892322412,1.5480185257136359,0.09635676633767787,0.08229913273430611,1.0794286076349426,0.7482028959979079,0.4338973843696305,0.08229733996768118,2.2333186502513067,11.0,185725793197.57516,213180028244.3442,240634263291.11322,628.8670862730174,721.8270596965775,814.7870331201375,35356.40608652153,860,41.112100100606426
