Target,<F>(raw) [*10^2],σ_F(raw),<ΔF>(raw),σ_ΔF(raw),<F>(unbinned) [*10^2],<F>(6hr) [*10^2],<F>(12hr) [*10^2],σ_F(unbinned),σ_F(6hr),σ_F(12hr),<ΔF>(unbinned),<ΔF>(6hr),<ΔF>(12hr),σ_ΔF(unbinned),σ_ΔF(6hr),σ_ΔF(12hr),$log(σ^2_NXS(unbinned)),$log(err(σ^2_NXS)(unbinned)),$log(σ^2_NXS(6hr)),$log(err(σ^2_NXS)(6hr)),$log(σ^2_NXS(12hr)),$log(err(σ^2_NXS)(12hr)),F_var(unbinned),err(F_var)(unbinned) [*10^-2],F_var(6hr),err(F_var)(6hr) [*10^-2],F_var(12hr),err(F_var)(12hr) [*10^-2],"τ(inc,days)","Δt(inc,days)","τ(dec,days)","Δt(dec,days)",χ^2 [*10^4],dof [*10^3],χ^2/dof
PKS0637-75,0.7213,14.8899,-0.0038,0.695,3.1917,3.2153,3.2154,2.3312,0.5195,0.5091,-0.0,-0.0011,-0.0356,0.7194,0.2425,0.2098,-4.4536,-6.7368,-4.4648,-6.716,-4.4586,-6.7368,0.0059,0.0015,0.0059,0.0016,0.0059,0.0017,3.5105,0.0417,9.44,0.0833,17.6936,12.033,14.7043
PKS0637-75 sectors 1+2+3,0.9834,4.4323,-0.0044,0.7037,3.2146,3.2152,3.2157,0.535,0.4979,0.5054,0.0001,-0.0099,-0.0128,0.687,0.2455,0.1905,-6.4387,-7.1387,-6.2979,-7.3439,-6.3576,-7.1387,0.0006,0.006,0.0007,0.0032,0.0007,0.0031,35.1626,0.2708,57.7155,0.3958,0.3663,3.177,1.1529
PKS0637-75 sectors 10+11,0.1451,5535.9844,-0.0349,0.6692,2.132,2.1389,2.1386,0.876,0.5257,0.5819,0.0029,-0.012,-0.0137,0.6659,0.2201,0.1448,-5.1539,-6.4182,-5.1222,-6.4031,-5.1246,-6.4182,0.0026,0.0072,0.0027,0.0072,0.0027,0.0079,262.52,3.0417,122.2003,1.9997,0.5075,2.223,2.2829
PKS0637-75 sectors 13,1.0892,1.7282,-0.0027,0.7294,3.389,3.3884,3.3871,0.5179,0.6351,0.6372,-0.0016,0.0008,0.0008,0.7264,0.2057,0.1754,,-6.9737,-6.7512,-7.2887,-6.9101,-6.9737,,,0.0004,0.0061,0.0004,0.0057,185.8913,1.375,28.214,0.2083,0.1205,1.282,0.9397
PKS0637-75 sectors 4+5+6,0.7009,2.847,0.0042,0.7362,2.5344,2.5613,2.5611,3.1414,0.4699,0.456,-0.0018,-0.059,-0.0896,0.9052,0.3559,0.5084,-4.0318,-6.1214,-4.0518,-6.1205,-4.0577,-6.1214,0.0096,0.0039,0.0094,0.004,0.0094,0.0042,2.7935,0.0417,7.4984,0.0833,6.5749,2.844,23.1186
PKS0637-75 sectors 7+8+9,0.6442,14.0775,0.011,0.6398,2.3185,2.3149,2.3084,0.9703,1.253,1.0859,0.0004,0.0163,0.032,0.6462,0.2546,0.2588,-4.9949,-6.5231,-5.0015,-6.5593,-5.0164,-6.5231,0.0032,0.0047,0.0032,0.0044,0.0031,0.0044,36.2039,0.375,25.4301,0.2292,0.8312,2.503,3.3207
2MASXJ12571157-1724344,15.5852,9.3663,0.053,2.1873,15.5879,15.4766,15.4573,8.3707,3.1519,2.6871,0.0526,0.4849,0.9105,2.1069,0.8713,0.616,-4.7314,-6.5523,-4.7458,-6.5546,-4.7591,-6.5523,0.0043,0.0033,0.0042,0.0033,0.0042,0.0033,111.9814,0.75,548.1222,4.2084,1.8848,0.949,19.8607
3C120,8.5403,3.4853,-0.0394,1.8116,8.5435,8.4383,8.4504,4.326,2.5248,2.7537,0.0064,0.1114,1.1055,2.1098,1.8961,3.7093,-3.8458,-5.9729,-3.8868,-5.9871,-3.9475,-5.9729,0.0119,0.0045,0.0114,0.0045,0.0106,0.0046,1.6058,0.0208,1.5259,0.0208,7.2035,1.088,66.2089
NGC1218,27.3653,20.4502,0.0005,2.8342,27.3658,27.123,27.1462,35.6765,3.9135,2.5169,-0.0117,0.2385,0.6652,3.1147,1.2699,1.0597,-4.4589,-6.5601,-4.4544,-6.5445,-4.4606,-6.5601,0.0059,0.0023,0.0059,0.0024,0.0059,0.0025,9.3039,0.0417,47.8282,0.1458,6.5451,0.886,73.873
PKS0035-252,1.5989,29.7882,0.0746,2.6016,1.611,1.2792,1.3631,29.9903,28.2394,66.6947,0.2263,0.3596,0.9869,3.5261,16.0685,25.7502,-1.4463,-4.1295,-1.4804,-4.1346,-1.5259,-4.1295,0.1892,0.0196,0.1819,0.0202,0.1726,0.0201,0.282,0.0208,0.2448,0.0208,91.2615,0.889,1026.5633
PKS0130-17,1.3013,1.4736,0.0087,1.2126,1.3015,1.2124,1.229,5.3574,2.2247,2.2751,0.0005,0.0281,0.2621,3.8323,1.0872,2.1593,-2.1458,-4.4187,-2.1839,-4.4169,-2.1939,-4.4187,0.0845,0.0226,0.0809,0.0237,0.08,0.0251,1.2772,0.0417,1.3513,0.0417,14.0788,0.871,161.6395
PKS0208-512,1.0762,23.3587,-0.0489,1.1397,1.0705,1.0848,1.0993,22.644,5.4866,5.4357,-0.0294,-0.4243,-0.9149,2.0703,2.8725,4.8354,-1.3096,-4.1593,-1.3132,-4.1416,-1.3031,-4.1593,0.2214,0.0156,0.2205,0.0164,0.2231,0.0172,0.2163,0.0208,1.1216,0.0417,195.5349,2.058,950.1211
