Target σ_lc σ_ΔF τ(increasing)(ks) Δt(ks) τ(decreasing)(ks) Δt(ks) χ^2/dof 
1ES2322-409 6.515395 6.442143 46.183063 1.799957 46.531958 1.799975 55.709668
1ES2322-409 6.515395 6.442143 46.183063 1.799957 46.531958 1.799975 55.709668
1RXSJ054357.3-553206 20.290237 1.732196 56.709701 1.800012 65.272665 1.798242 458.925663
1ES2322-409 6.515395 6.442143 46.183063 1.799957 46.531958 1.799975 55.709668
1RXSJ054357.3-553206 20.290237 1.732196 56.709701 1.800012 65.272665 1.798242 458.925663
1ES2322-409 6.515395 6.442143 46.183063 1.799957 46.531958 1.799975 55.709668
1RXSJ054357.3-553206 20.290237 1.732196 56.709701 1.800012 65.272665 1.798242 458.925663
1ES2322-409 6.515395 6.442143 46.183063 1.799957 46.531958 1.799975 55.709668
1RXSJ054357.3-553206 20.290237 1.732196 56.709701 1.800012 65.272665 1.798242 458.925663
1RXSJ120417.0-070959 1.137001 1.506786 317.600608 1.803516 268.836589 1.803516 0.125645
2MASSJ02271658+0202005 1.059778 1.384210 209.205718 1.799940 171.149777 1.799943 1.220721
2MASXJ04010663-1606391 1.289561 1.863718 362.010217 1.798242 391.993855 1.803516 0.950526
2MASXJ04390223+0520443 2.492581 1.419592 36.736484 1.803516 36.149629 1.798242 9.347494
2MASXJ08471294+1133497 1.380756 1.602252 248.449786 1.798242 277.418132 1.803516 0.160384
2MASXJ11255199-0742215 0.729286 1.002836 217.992309 1.798242 222.855297 1.798242 0.538982
2MASXJ12571157-1724344 1.877107 2.509347 484.174396 1.798242 685.034031 1.798242 0.717480
3C120 7.894201 2.731230 61.194692 1.798242 57.269161 1.803516 51.680155
4C+14.23 0.772422 1.125966 313.832075 1.798242 250.897607 1.798242 0.453053
NGC1068 0.275885 0.327864 1.175498 1.800008 0.819861 1.799991 1.252259
NGC1218 3.368941 3.368631 705.527630 1.800018 789.196031 1.800035 1.966440
NRAO190 0.907847 1.253665 197.326599 1.803516 249.230585 1.798242 1.071502
NVSSJ114117-140447 0.909028 1.287074 339.726265 1.798242 343.328618 1.798242 0.245898
PKS0002-170 0.889734 1.296877 256.603892 1.800034 231.770516 1.800027 0.949965
PKS0035-252 5.548043 6.804303 54.837579 1.799988 47.787009 1.799998 34.427482
PKS0130-17 4.424380 2.279095 57.979851 1.799992 73.041484 1.800039 28.849294
PKS0202-17 0.827416 1.076514 213.111804 1.800026 225.011306 1.799986 0.949499
PKS0208-512 2.961093 3.836845 36.869121 1.799980 32.343549 1.799976 14.173804
PKS0217-133 0.888871 1.114831 185.114089 1.799949 217.182327 1.799940 1.141669
PKS0217-189 0.702884 0.996260 203.647096 1.799946 179.125027 1.800005 0.929370
PKS0226-559 3.605001 2.162612 46.451788 1.800032 54.179993 1.799998 23.371951
PKS0235-618 1.256121 1.026785 81.716026 1.800015 81.448497 1.800018 2.642172
PKS0244-470 0.784430 1.038219 138.869063 1.800017 177.640591 1.800012 0.895118
PKS0301-243 3.288946 1.908662 120.056294 1.799999 107.381890 1.799963 13.517919
PKS0310+013 0.928340 1.219295 193.562512 1.800034 167.134059 1.799982 1.059716
PKS0336-177 1.111359 1.084448 208.971493 1.800053 263.748422 1.800014 2.114341
PKS0346-27 1.560119 2.113033 88.607711 1.800033 107.686167 1.800013 4.315275
PKS0403-13 0.934124 1.322056 195.574508 1.798242 221.180759 1.798242 1.043074
PKS0406-127 0.668507 0.932289 226.108574 1.798242 247.876760 1.798242 0.841435
PKS0420-01 1.150957 1.613478 264.201494 1.803516 285.243899 1.798242 1.237246
PKS0422+00 2.764770 1.691520 273.274292 1.798242 198.328431 1.798242 5.954499
PKS0426-380 1.984170 1.171280 217.017047 1.798242 197.134444 1.803516 6.645451
PKS0454+039 0.645707 0.912777 253.608765 1.798242 243.392971 1.798242 0.882490
PKS0454-234 0.658828 0.930485 109.470631 1.798242 156.867375 1.803516 0.972702
PKS0506-61 1.537634 1.461320 59.056233 1.800014 47.026472 1.799979 24.071369
PKS0521-36 7.735238 3.640657 49.724469 1.798242 49.005399 1.803516 46.356404
PKS0605-08 3.303122 1.632394 171.459736 1.798242 200.431768 1.798242 6.122930
PKS0637-75 9.447626 1.202356 75.907847 1.798242 69.715720 1.798242 101.632928
PKS0736+01 6.978944 2.891541 23.350525 1.803516 20.501548 1.798242 44.283427
PKS0829+046 2.100661 2.492464 220.981571 1.803516 198.345143 1.798242 0.625883
PKS0855-19 0.883978 1.204770 122.068805 1.798242 118.738774 1.803516 0.652827
PKS0859-14 0.776218 1.090822 232.969397 1.798242 200.714814 1.803516 0.467665
PKS1004-217 0.892918 1.245111 255.543347 1.803516 292.482598 1.803516 0.280668
PKS1005+007 1.100798 1.452752 371.353980 1.803516 413.314212 1.798242 0.312022
PKS1045-18 0.803572 1.198536 220.190794 1.798242 249.545421 1.798242 0.501478
PKS1244-255 71.820116 49.966425 0.529930 1.798242 0.636272 1.798242 27.562075
PKS1424-41 1.216482 1.487289 124.802053 1.798242 174.419969 1.798242 0.594266
PKS1451-375 10.423662 6.663457 2.533769 1.803516 11.306056 1.803516 2.035926
PKS2142-75 0.780574 0.930657 175.093759 1.798242 201.469329 1.798242 0.715161
PKS2155-304 18.349705 3.242650 85.104829 1.799989 110.585893 1.799988 207.789679
PKS2155-83 0.433745 0.601539 271.727667 1.798242 281.293583 1.798242 0.194835
PKS2255-282 4.196687 1.934498 123.376114 1.799986 145.640601 1.799988 16.119917
PKS2326-502 1.660644 1.129792 181.855556 1.799975 158.212266 1.800037 4.440384
PKS2345-16 1.591823 2.056372 213.297631 1.800026 203.013751 1.800009 2.222884
PKS2354-11 0.858970 1.205895 240.238680 1.800007 268.627798 1.800027 0.870943
PMNJ0948+0022 8.179013 3.104375 61.883502 1.798242 88.788131 1.798242 36.191977
PMNJ2141-6411 1.089030 1.221661 213.298583 1.799995 227.318673 1.799966 1.628477
PMNJ2345-1555 0.579015 0.747099 294.368395 1.799992 359.751324 1.800006 0.654766
PSRB1259-63 30.689276 12.290362 804.954916 1.798242 995.256859 1.803516 39.905527
WISEJ023951.27+041621.2 0.937054 1.167597 230.247372 1.800014 204.985326 1.800029 1.106851
