Target σ_lc σ_ΔF τ(increasing)(ks) Δt(ks) τ(decreasing)(ks) Δt(ks) χ^2/dof 
1ES2322-409 12.273140 1.483142 135.568438 1.799985 113.010935 1.799966 195.824187
1ES2322-409 12.273140 1.483142 135.568438 1.799985 113.010935 1.799966 195.824187
1ES2322-409 12.273140 1.483142 135.568438 1.799985 113.010935 1.799966 195.824187
1RXSJ054357.3-553206 19.755539 1.173805 163.707754 1.800021 110.004890 1.798242 416.611655
1ES2322-409 12.273140 1.483142 135.568438 1.799985 113.010935 1.799966 195.824187
1RXSJ054357.3-553206 19.755539 1.173805 163.707754 1.800021 110.004890 1.798242 416.611655
1ES2322-409 12.273140 1.483142 135.568438 1.799985 113.010935 1.799966 195.824187
1RXSJ054357.3-553206 19.755539 1.173805 163.707754 1.800021 110.004890 1.798242 416.611655
1RXSJ120417.0-070959 1.173355 1.494045 320.999718 1.803516 268.376492 1.803516 0.133770
2MASSJ02271658+0202005 1.179622 1.395780 184.867146 1.799940 180.927253 1.799943 1.507459
2MASXJ04010663-1606391 1.354915 1.842501 358.799841 1.798242 384.991542 1.798242 1.044773
2MASXJ04390223+0520443 3.141745 1.407441 36.481685 1.803516 36.433312 1.803516 10.059426
2MASXJ08471294+1133497 1.622905 1.651024 247.453458 1.798242 277.590448 1.798242 0.221432
2MASXJ11255199-0742215 0.745463 1.009341 220.833664 1.798242 224.288509 1.798242 0.562752
2MASXJ12571157-1724344 2.388566 2.593219 512.886943 1.798242 684.370812 1.798242 1.165865
3C120 9.339391 2.197463 66.263847 1.798242 56.244736 1.798242 72.565916
4C+14.23 0.779208 1.132993 310.891335 1.798242 247.336086 1.798242 0.461129
NGC1068 0.279009 0.324250 1.101537 1.800020 1.141590 1.799968 1.280777
NGC1218 4.834931 3.388209 715.648524 1.800018 882.968852 1.800030 4.086592
NRAO190 0.958173 1.270823 193.664762 1.803516 268.156189 1.798242 1.192378
NVSSJ114117-140447 0.916602 1.327499 339.258904 1.798242 355.308648 1.798242 0.249907
PKS0002-170 0.901444 1.306788 255.870383 1.800034 246.599567 1.799988 0.973544
PKS0035-252 31.146352 2.960491 42.667026 1.800011 55.914683 1.799971 1063.401537
PKS0130-17 5.894801 1.419485 115.829211 1.800049 143.389700 1.799995 50.707079
PKS0202-17 0.871572 1.103170 199.981018 1.800026 204.354470 1.800022 1.052386
PKS0208-512 25.508750 1.320109 65.898933 1.799999 72.169693 1.800011 1071.548981
PKS0217-133 3.152566 1.100233 228.845747 1.800020 145.753599 1.799945 15.195425
PKS0217-189 0.709984 0.996596 208.394118 1.799946 176.952907 1.799952 0.948193
PKS0226-559 9.405948 1.286712 137.304360 1.800022 121.708898 1.799973 162.378170
PKS0235-618 10.782304 1.614582 26.137056 1.800016 32.952346 1.800028 190.974622
PKS0244-470 0.818724 1.042471 139.812878 1.800017 182.858474 1.800001 0.957171
PKS0301-243 4.247622 1.386854 198.043892 1.800003 201.797613 1.799999 22.822749
PKS0310+013 0.915673 1.226956 193.880675 1.800034 199.492430 1.800021 1.073297
PKS0336-177 1.270499 1.044953 252.229793 1.799992 262.820744 1.800032 2.724723
PKS0346-27 9.844812 2.260196 88.750563 1.800028 68.660386 1.800002 167.939830
PKS0403-13 0.967680 1.311544 206.674035 1.798242 223.498491 1.798242 1.113964
PKS0406-127 0.677287 0.929099 233.673791 1.798242 242.917686 1.798242 0.863690
PKS0420-01 3.000868 1.665420 231.808280 1.798242 252.102905 1.798242 8.333567
PKS0422+00 3.277771 1.573435 296.931017 1.798242 312.092277 1.803516 8.371241
PKS0426-380 1.953434 1.037717 265.401415 1.800003 250.441275 1.803516 6.731948
PKS0454+039 0.824991 0.920743 247.713686 1.798242 236.605718 1.803516 1.436846
PKS0454-234 2.080685 0.991948 181.721932 1.798242 186.807128 1.798242 9.638394
PKS0506-61 2.072488 0.156381 34.442399 1.800014 28.446018 1.798242 55.051809
PKS0521-36 18.483217 2.467666 38.845658 1.798242 53.907673 1.798242 275.715137
PKS0605-08 3.856723 1.588194 178.594024 1.798242 186.306010 1.798242 8.347623
PKS0637-75 82.563826 1.179875 103.048807 1.798242 66.205841 1.798242 309.845536
PKS0736+01 8.101103 2.629840 20.600999 1.803516 19.077532 1.798242 59.719420
PKS0829+046 17.590487 3.008639 57.157791 1.803516 75.047604 1.798242 43.885202
PKS0855-19 0.897718 1.226874 126.304043 1.798242 124.432508 1.798242 0.672568
PKS0859-14 1.832446 1.262439 188.209952 1.803516 141.111101 1.798242 2.592372
PKS1004-217 0.897846 1.241543 248.641388 1.803516 281.240980 1.798242 0.283761
PKS1005+007 1.113276 1.461675 366.371902 1.803516 399.597891 1.803516 0.319050
PKS1045-18 0.848711 1.235154 224.181375 1.803516 252.149733 1.803516 0.559283
PKS1244-255 7.051277 3.046366 11.143523 1.803516 9.694386 1.798242 9.707303
PKS1424-41 1.631868 1.448062 161.704746 1.803516 184.369776 1.798242 0.956951
PKS1451-375 34.930721 6.490413 4.105733 1.803516 8.815322 1.798242 28.974258
PKS2142-75 0.863166 0.939985 191.134976 1.798242 183.318877 1.798242 0.861063
PKS2155-304 21.346187 3.143958 34.268868 1.799991 69.425026 1.800036 282.977130
PKS2155-83 5.404530 1.219246 122.483904 1.803516 131.981760 1.803516 27.903010
PKS2255-282 6.641616 1.449755 176.378556 1.799988 165.240900 1.799988 44.418685
PKS2326-502 2.296415 1.090806 188.442727 1.800002 165.648159 1.800021 8.433406
PKS2345-16 4.904014 1.550521 268.328422 1.800032 212.441841 1.800029 21.619160
PKS2354-11 0.864970 1.205581 223.054141 1.800007 262.070554 1.800005 0.883165
PMNJ0948+0022 9.009169 2.025511 96.972153 1.803516 76.615640 1.798242 43.909075
PMNJ2141-6411 10.323062 3.277059 24.019282 1.799989 30.436518 1.799995 148.285097
PMNJ2345-1555 6.034534 1.031620 168.745748 1.800013 182.964294 1.799991 71.293069
PSRB1259-63 46.689593 15.366385 352.595497 1.798242 418.634385 1.798242 91.469436
WISEJ023951.27+041621.2 0.948931 1.193999 235.109345 1.800014 207.956213 1.800044 1.119281
WISEJ025741.00-121201.3 1.141773 1.059232 124.412289 1.799942 144.433303 1.799982 2.063339
WISEJ030923.28-055920.4 0.781110 1.005480 250.262331 1.799985 201.420086 1.800017 1.076188
WISEJ031612.72+090443.3 1.794797 1.340338 227.288552 1.799976 222.924199 1.800060 3.425000
WISEJ032613.94+022514.6 1.187066 1.557873 175.491248 1.799977 316.521028 1.800012 1.152988
WISEJ085009.64-121335.3 3.661334 0.986526 169.918173 1.798242 178.552950 1.798242 22.944537
WISEJ095302.70-084018.2 5.256868 1.246665 230.912337 1.798242 222.755514 1.798242 21.213338
WISEJ102243.73-011302.2 1.079198 1.247128 123.850376 1.798242 193.043429 1.798242 0.137495
WISEJ105912.43-113422.6 3.390488 1.263486 143.446889 1.803516 141.328992 1.798242 9.871005
WISEJ115217.21-084103.1 2965.535794 1833.139051 0.342524 1.798242 0.260551 1.798242 44187.018196
