Target,<F>(raw),σ_F(raw),<ΔF>(raw),σ_ΔF(raw),<F>(unbinned),<F>(6hr),<F>(12hr),σ_F(unbinned),σ_F(6hr),σ_F(12hr),<ΔF>(unbinned),<ΔF>(6hr),<ΔF>(12hr),σ_ΔF(unbinned),σ_ΔF(6hr),σ_ΔF(12hr),σ^2_NXS(unbinned),err(σ^2_NXS)(unbinned),σ^2_NXS(6hr),err(σ^2_NXS)(6hr),σ^2_NXS(12hr),err(σ^2_NXS)(12hr),F_var(unbinned),err(F_var)(unbinned),F_var(6hr),err(F_var)(6hr),F_var(12hr),err(F_var)(12hr),"τ(inc,days)","Δt(inc,days)","τ(dec,days)","Δt(dec,days)",χ^2,dof,χ^2/dof
PKS0506-61,143.06288292829078,1412.5817590973752,0.008854290223044127,0.5423589296636389,192.4675662877231,192.99474813814473,193.00498516508537,0.48036117577089227,0.4552569999590216,0.4122456018455806,-0.0020036825364260734,0.004278997230812928,0.003359786445202865,0.5312195118109256,0.18015235019427658,0.13197682391508014,2.635151601540649e-06,9.833199619304901e-08,2.767393042535504e-06,8.312062817577116e-08,2.627046013035797e-06,9.833199619304901e-08,0.001623315003793364,3.0287404466559698e-05,0.001663548328884828,2.49829315844078e-05,0.0016208164649446886,2.3934783785822477e-05,27.853954704356514,0.39582914658558366,11.437655600970016,0.14583152449563386,19358.01335992454,12863,1.5049376786072097
PKS0506-61 sectors 1+2+3,74.77177039539747,0.8788044476852603,-0.00457598729944479,0.47809126138328695,192.69744002548742,193.0529889033871,192.98041992974683,0.4201062610470562,0.44665102591015615,0.5533805058314922,-0.0023023221070911926,-0.007082723690869199,-0.007539348367313555,0.477438812293276,0.17845410608744688,0.11793602094888835,1.455116283284337e-06,1.219912019565361e-07,1.6777791825426397e-06,9.510414214872598e-08,1.690687279453235e-06,1.219912019565361e-07,0.001206282008190596,5.0564959573392376e-05,0.0012952911574401487,3.6711492085176394e-05,0.0013002643113818185,3.609419931693043e-05,144.53365644436926,1.3333446999999978,325.0051599005316,2.437522700000045,4787.901720379345,3539,1.3528967845095634
PKS0506-61 sectors 5+6+7,135.9145174957868,914.0555778254911,0.03177926417396788,0.5068548133757234,183.8183966856621,183.90684556334725,183.8581095874603,0.3824608301419086,0.36734339460558385,0.3145704338847599,-0.0008213542562396072,-0.0014112349453300004,-5.330752802734651e-06,0.49532696501234325,0.15203483898897813,0.12556286091699753,2.5235778692818144e-07,1.1700937246113131e-07,4.658375671044143e-07,6.150884762163683e-08,4.4473585646497736e-07,1.1700937246113131e-07,0.0005023522538301002,0.00011646147854320652,0.0006825229425480247,4.5059912119590656e-05,0.0006668851898677743,4.345478203241317e-05,8.67314232871108,0.0833325999999488,4.163957085219833,0.04166620000000876,3268.2995549924826,3036,1.0765150049382355
PKS0506-61 sectors 8+9+10,236.8526602037349,4.44529411818664,0.026014333944825795,0.5477169080581754,347.5063100903167,347.456485985,347.5469018639815,0.3999796297125434,0.7968841637075608,0.8170799256653699,0.0007896114569536269,0.01806541486498237,0.011074469384968155,0.5393610189339391,0.1979749840544385,0.11994228886445901,9.965803577911179e-07,6.396738860357778e-08,5.430383904555567e-07,3.779641229963867e-08,4.2842991480335155e-07,6.396738860357778e-08,0.0009982887146467788,3.203852135412106e-05,0.0007369113857551373,2.5645154241243976e-05,0.000654545578858609,3.0506730314098363e-05,50.346269996112234,0.39582910000012816,20.712312377934108,0.14583150000021305,3533.0693341285732,2589,1.3646463244992557
PKS0506-61 sectors 11+12+13,51.712691145946685,8.240075454367862,-0.004456156712868314,0.6554420501988725,137.6517398544264,137.20529502177018,137.160548435,0.6524972172339932,0.48820829222334117,0.7154522945254166,-0.0017300480183689685,0.006801061509006053,0.007038302003045547,0.6423111320166796,0.20355863194353044,0.19871967014941372,6.398194146360192e-06,5.545072017009911e-07,8.056187267691555e-06,4.979767357065786e-07,8.077006891216033e-06,5.545072017009911e-07,0.0025294651897901643,0.00010960957358480018,0.0028383423450478195,8.772316288333232e-05,0.002842007545946357,8.121433118189334e-05,125.75733189080127,1.5622131000000081,172.6199645856063,2.291688499999964,6090.223986361294,3696,1.6477878750977528
2MASXJ04010663-1606391,680.4731404027294,1.3450032085490329,0.00033205830159279776,1.6750429868429888,680.6588685811279,680.0920158527381,680.2165978707069,1.2546717795328064,1.4260985618471638,1.2675493944847815,0.0036848979644049855,0.015067614699192104,0.027409461240214896,1.66802221146097,0.6320728979667966,0.007809872059515853,-9.840628162119984e-08,1.424957410396822e-07,1.9126008041893914e-07,6.466733451585426e-08,2.5659450352558254e-07,1.424957410396822e-07,nan,nan,0.00043733291714543866,7.393376073535828e-05,0.0005065515803208816,6.818797577461951e-05,151.88022300954603,1.312467117848655,92.58245637347504,0.7499797045188643,1061.6167761474364,1093,0.9712870779025036
2MASXJ08471294+1133497,-4.689325957245879,0.9795813285396232,0.0027738588046183612,1.3856444855255887,2.9933057363302322,3.24752537468822,3.2921418645812888,0.9820333311676556,1.0852358770260844,1.224268889045355,0.003626103742233047,-0.0067928475604155936,-0.0093506818037168,1.3688687186483266,0.36816247022516085,0.3171246586114457,0.021566123955073617,0.005692607937245017,0.011023913260102327,0.0026737590038871,0.005544889209232066,0.005692607937245017,0.1468540906991481,0.019381850073577966,0.10499482492057562,0.012732813288224879,0.07446401284669035,0.0136947482480865,0.07540330737021346,0.08333246414304085,0.0961935913245008,0.10416553547588592,1106.632976388367,912,1.213413351303034
NRAO190,-0.859281403427824,0.7832191495647635,0.00012591682837117702,0.9337648749518818,2.6513615296839292,3.0835413989462293,3.0502443980847262,0.7722816125634357,0.7221833681091138,0.8390077554316121,0.00020835760355209366,0.00531493359898751,0.004307932714928545,0.9422163125820329,0.3374647788731649,0.33579423391166047,0.015527299976128308,0.003843684667785455,0.021696060234214606,0.0026820665562406697,0.021655432479848934,0.003843684667785455,0.12460858708824327,0.015423032864755529,0.14729582558312576,0.009104353587831506,0.1471578488557404,0.008895583870814096,3.239001326668942,3.9584478579306506,3.0304610531209457,3.4375676182748975,1324.9976224529541,1089,1.2167103971101507
PKS0002-170,20.224698168311466,0.9638229115110699,0.00755174925406481,1.30466289344077,20.235723942979153,19.933551476889075,19.95052843482022,0.9584276171778404,0.741347880176753,0.7180807195005623,0.006358060504191825,0.029131183264096767,0.034481498128958066,1.3128479206235872,0.42868383342696037,0.4067328566599842,7.19995598588739e-05,8.819471491656165e-05,0.00015019200855301347,4.392995899181937e-05,0.00013231960230075362,8.819471491656165e-05,0.008485255438634355,0.005196939299847171,0.012255284923371364,0.0017922863183720446,0.011503025788928476,0.0017108520152666366,1.2967746424743294,0.2500053892681535,11.533912490745863,2.5833607140393724,1148.9346309111652,1116,1.0295113180207573
PKS0202-17,17.346854910714285,0.8858997472800931,0.0007189783246834469,1.175341914815417,17.341141798020033,17.412352162549443,17.236863921955422,0.8849786035587403,0.8971965390645359,0.13217656320280208,-0.0001369205661245362,0.002545350735100834,0.017226226244132233,1.1735506633454287,0.4337827474097819,0.02178328567869836,0.0001676997890263791,0.00012261722183571505,0.0003785473854236778,7.692084108681535e-05,0.0003647842950026793,0.00012261722183571505,0.012949895328780813,0.0047342939353031445,0.01945629423666485,0.001976759812304343,0.019099327082457103,0.0020407862364904884,6.17860043055101,1.5000278332609014,2.075768671222696,0.45834261550317024,936.4633835862569,874,1.071468402272605
PKS0217-189,3.701509640981777,0.7033268172242214,-0.0033397811124888095,0.9963609266958915,3.6854523199234093,3.882029549867391,3.844752550190776,0.6971904231699688,0.5347057269431752,0.3898746656668936,-0.002903911845121703,-0.01749693323870276,-0.035391098052418524,0.9824963554618008,0.0009661201583814801,0.27313280462145006,0.0011767098847091588,0.0019518236862927,0.004803631743593118,0.0011768918004909667,0.0058398806965014784,0.0019518236862927,0.03430320516670649,0.02844958185113082,0.06930823719871339,0.008490273653308369,0.07641911211536992,0.008060123343875675,1.4873318583867314,1.3958300994731871,0.413417451463972,0.4166650121874227,878.9667407110521,853,1.0304416655463682
PKS1005+007,220.27987036544286,1.1912845965744496,0.004273498362252205,1.4529004962017562,220.28241947579767,220.97589388347262,220.9317286186176,1.19662991340173,1.1015342762675946,1.0396983198449161,0.004550717623198952,-0.03870903626659888,-0.06485590179930714,1.4673008103077518,0.016920373312602224,0.8175721576994459,4.681505753586523e-06,1.5500161579495725e-06,6.174862129223538e-06,1.0125608159331926e-06,5.6407887000802e-06,1.5500161579495725e-06,0.002163678754710718,0.0003581899934486366,0.0024849269866987116,0.0002037405568359184,0.0023750344629247383,0.00020329284175307096,14.80085573461003,0.3333392176818961,42.482870421058514,1.2083295445720523,844.3753020227421,711,1.1875883291459102
PKS2354-11,22.535909558430372,0.7327653613672788,0.0036989038301144814,0.9955551387779693,22.527118259741602,22.24708030304199,22.303754473701552,0.7328897361876796,0.7369728166550296,0.8166598551692974,0.0037545313380494922,0.025645772541005328,0.04154484212717995,1.0005214241012526,0.27740575122037836,0.1990060667184914,4.795465416752829e-05,5.1143666059454825e-05,0.00017986373961355307,3.252913113326742e-05,0.0001838996839955845,5.1143666059454825e-05,0.0069249299034378885,0.0036927208486301428,0.013411328778818043,0.0012127482544699144,0.013560961765139835,0.0011393625822218815,7.3621418130795,1.0833231719143441,26.56178590009046,4.2292098195914605,1075.397594415764,1051,1.0232136959236573
WISEJ025741.00-121201.3,2.1716442460216476,0.7850425730843653,0.005782338370264104,1.03119433435827,2.5878636371528425,2.1870752393467123,2.203665034429071,0.765333659369348,0.9011168921988769,1.6044213798748501,0.0030898847826922975,0.008592955156844133,0.024092341715596686,1.0203978772711244,0.40050200355261933,0.20148646302147935,-0.0013192610748404845,0.004253985892679142,0.007723232816292789,0.0022372370085597675,0.005935838902246252,0.004253985892679142,nan,nan,0.08788192542436009,0.012728652665247735,0.07704439565760933,0.01311988690874504,0.15345730201081995,0.2083355366107753,7.750385318874639,10.374974657899656,917.4960509538273,920,0.9972783162541601
WISEJ030923.28-055920.4,1.1951959529146978,0.7952590862523239,-0.002770353618421053,1.0413812976436236,2.602045502082654,2.075948944579734,2.065610082859003,0.7861284197886822,0.8267455520452273,0.03804621145315245,-0.0022924198263292155,-0.0009318702528597181,0.016081108135406353,1.0336259866147792,0.29034782977714524,0.0003487738632225708,0.0015123888196434123,0.004069863967920802,0.011450101204198515,0.0024843062630535043,0.012422386830888296,0.004069863967920802,0.03888944355018997,0.05232607613256684,0.10700514569028217,0.01160834951920971,0.11145576176621959,0.01113146109538822,0.008359787972542951,0.020833100493064194,0.00880945667854497,0.020833876644474003,900.3779979494913,872,1.0325435756301504
