Target,<F>(raw),σ_F(raw),<ΔF>(raw),σ_ΔF(raw),<F>(unbinned),<F>(6hr),<F>(12hr),σ_F(unbinned),σ_F(6hr),σ_F(12hr),<ΔF>(unbinned) [*10^-2],<ΔF>(6hr),<ΔF>(12hr),σ_ΔF(unbinned),σ_ΔF(6hr),σ_ΔF(12hr),$log(σ^2_NXS(unbinned)),$log(err(σ^2_NXS)(unbinned)),$log(σ^2_NXS(6hr)),$log(err(σ^2_NXS)(6hr)),$log(σ^2_NXS(12hr)),$log(err(σ^2_NXS)(12hr)),F_var(unbinned),err(F_var)(unbinned) [*10^-2],F_var(6hr),err(F_var)(6hr) [*10^-2],F_var(12hr),err(F_var)(12hr) [*10^-2],"τ(inc,days)","Δt(inc,days)","τ(dec,days)","Δt(dec,days)",χ^2 [*10^3],dof [*10^3],χ^2/dof
PKS0506-61,143.0629,1412.5818,0.0089,0.5424,192.4676,192.9947,193.005,0.4804,0.4553,0.4122,-0.2004,0.0043,0.0034,0.5312,0.1802,0.132,-5.5792,-7.0073,-5.5579,-7.0803,-5.5805,-7.0073,0.0016,0.003,0.0017,0.0025,0.0016,0.0024,27.854,0.3958,11.4377,0.1458,19.358,12.863,1.5049
PKS0506-61 sectors 1+2+3,74.7718,0.8788,-0.0046,0.4781,192.6974,193.053,192.9804,0.4201,0.4467,0.5534,-0.2302,-0.0071,-0.0075,0.4774,0.1785,0.1179,-5.8371,-6.9137,-5.7753,-7.0218,-5.7719,-6.9137,0.0012,0.0051,0.0013,0.0037,0.0013,0.0036,144.5337,1.3333,325.0052,2.4375,4.7879,3.539,1.3529
PKS0506-61 sectors 5+6+7,135.9145,914.0556,0.0318,0.5069,183.8184,183.9068,183.8581,0.3825,0.3673,0.3146,-0.0821,-0.0014,-0.0,0.4953,0.152,0.1256,-6.598,-6.9318,-6.3318,-7.2111,-6.3519,-6.9318,0.0005,0.0116,0.0007,0.0045,0.0007,0.0043,8.6731,0.0833,4.164,0.0417,3.2683,3.036,1.0765
PKS0506-61 sectors 8+9+10,236.8527,4.4453,0.026,0.5477,347.5063,347.4565,347.5469,0.4,0.7969,0.8171,0.079,0.0181,0.0111,0.5394,0.198,0.1199,-6.0015,-7.194,-6.2652,-7.4225,-6.3681,-7.194,0.001,0.0032,0.0007,0.0026,0.0007,0.0031,50.3463,0.3958,20.7123,0.1458,3.5331,2.589,1.3646
PKS0506-61 sectors 11+12+13,51.7127,8.2401,-0.0045,0.6554,137.6517,137.2053,137.1605,0.6525,0.4882,0.7155,-0.173,0.0068,0.007,0.6423,0.2036,0.1987,-5.1939,-6.2561,-5.0939,-6.3028,-5.0927,-6.2561,0.0025,0.011,0.0028,0.0088,0.0028,0.0081,125.7573,1.5622,172.62,2.2917,6.0902,3.696,1.6478
2MASXJ04010663-1606391,680.4731,1.345,0.0003,1.675,680.6589,680.092,680.2166,1.2547,1.4261,1.2675,0.3685,0.0151,0.0274,1.668,0.6321,0.0078,,-6.8462,-6.7184,-7.1893,-6.5908,-6.8462,,,0.0004,0.0074,0.0005,0.0068,151.8802,1.3125,92.5825,0.75,1.0616,1.093,0.9713
2MASXJ08471294+1133497,-4.6893,0.9796,0.0028,1.3856,2.9933,3.2475,3.2921,0.982,1.0852,1.2243,0.3626,-0.0068,-0.0094,1.3689,0.3682,0.3171,-1.6662,-2.2447,-1.9577,-2.5729,-2.2561,-2.2447,0.1469,1.9382,0.105,1.2733,0.0745,1.3695,0.0754,0.0833,0.0962,0.1042,1.1066,0.912,1.2134
NRAO190,-0.8593,0.7832,0.0001,0.9338,2.6514,3.0835,3.0502,0.7723,0.7222,0.839,0.0208,0.0053,0.0043,0.9422,0.3375,0.3358,-1.8089,-2.4153,-1.6636,-2.5715,-1.6644,-2.4153,0.1246,1.5423,0.1473,0.9104,0.1472,0.8896,3.239,3.9584,3.0305,3.4376,1.325,1.089,1.2167
PKS0002-170,20.2247,0.9638,0.0076,1.3047,20.2357,19.9336,19.9505,0.9584,0.7413,0.7181,0.6358,0.0291,0.0345,1.3128,0.4287,0.4067,-4.1427,-4.0546,-3.8234,-4.3572,-3.8784,-4.0546,0.0085,0.5197,0.0123,0.1792,0.0115,0.1711,1.2968,0.25,11.5339,2.5834,1.1489,1.116,1.0295
PKS0202-17,17.3469,0.8859,0.0007,1.1753,17.3411,17.4124,17.2369,0.885,0.8972,0.1322,-0.0137,0.0025,0.0172,1.1736,0.4338,0.0218,-3.7755,-3.9114,-3.4219,-4.114,-3.438,-3.9114,0.0129,0.4734,0.0195,0.1977,0.0191,0.2041,6.1786,1.5,2.0758,0.4583,0.9365,0.874,1.0715
